VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
V001,CD01,105.0,CD01-C020-C012-C021-C007-C019-C002-C003-CD01,7,96,37.4,0.7,17436.0
V002,CD01,105.0,CD01-C013-C022-C010-C016-C024-C017-CD01,6,100,46.6,0.9,21680.0
V003,CD01,105.0,CD01-CD01,0,0,0.0,0.0,0.0
V004,CD01,105.0,CD01-C008-C011-C009-C001-C015-C004-CD01,6,102,44.2,0.9,20606.0
V005,CD01,105.0,CD01-C014-C023-C006-C018-C005-CD01,5,79,28.5,0.6,13268.0
V006,CD01,105.0,CD01-CD01,0,0,0.0,0.0,0.0
V007,CD01,105.0,CD01-CD01,0,0,0.0,0.0,0.0
V008,CD01,105.0,CD01-CD01,0,0,0.0,0.0,0.0
