VehicleId,Trip,RouteSequence,ClientsServed,DemandSatisfied,TotalDistance,TotalTime,Cost
V001,1,CD01 - C008 - C011 - C003 - C004 - C014 - C005 - CD01,"C008, C011, C003, C004, C014, C005","C008:10.0, C011:10.0, C003:18.0, C004:22.0, C014:15.0, C005:13.0",15.77,00:00,658537.64
V001,2,CD01 - C015 - C017 - C001 - C016 - C012 - CD01,"C015, C017, C001, C016, C012","C015:30.0, C017:32.0, C001:25.0, C016:34.0, C012:24.0",13.73,00:00,567711.44
V002,1,CD01 - C006 - C010 - C013 - CD01,"C006, C010, C013","C006:4.0, C010:9.0, C013:12.0",9.64,00:00,228252.54
V002,2,CD01 - C007 - C009 - C002 - CD01,"C007, C009, C002","C007:5.0, C009:9.0, C002:9.0",7.48,00:00,204025.88
