VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
V001,CD01,105.0,CD01-C002-C003-CD01-CD01,3,39.0,38.2,0.8,17794.0
V002,CD01,105.0,CD01-C013-C014-C007-C006-C018-CD01,5,95.0,45.6,0.9,21252.0
V003,CD01,105.0,CD01-C011-C008-C017-CD01,3,42.0,25.2,0.5,11727.0
V004,CD01,105.0,CD01-C010-C016-C024-CD01,3,52.0,13.5,0.3,6292.0
V005,CD01,105.0,CD01-C009-C005-C015-CD01,3,50.0,21.3,0.4,9907.0
V006,CD01,105.0,CD01-C023-C019-C021-CD01,3,45.0,46.6,0.9,21711.0
V007,CD01,105.0,CD01-C004-C022-CD01,2,26.0,6.7,0.1,3116.0
V008,CD01,105.0,CD01-C012-C020-CD01,2,28.0,36.8,0.7,17162.0
