VehicleId,VehicleType,InitialLoad,RouteSequence,ClientsServed,DemandSatisfied,TotalDistance,TotalTime,Cost
V001,Truck,126,CD01 - C014 - C013 - C022 - C015 - C004 - C005 - C008 - CD01,"C014, C013, C022, C015, C004, C005, C008","C014:15, C013:21, C022:18, C015:17, C004:15, C005:20, C008:20",39.1,00:58,287065.33
V002,Truck,140,CD01 - C006 - C018 - C001 - C010 - C016 - C024 - C011 - C009 - C017 - CD01,"C006, C018, C001, C010, C016, C024, C011, C009, C017","C006:17, C018:12, C001:13, C010:15, C016:10, C024:11, C011:17, C009:20, C017:25",54.39,01:21,379794.98
V003,Truck,111,CD01 - C023 - C003 - C002 - C019 - C007 - C021 - C012 - C020 - CD01,"C023, C003, C002, C019, C007, C021, C012, C020","C023:15, C003:12, C002:15, C019:11, C007:17, C021:14, C012:12, C020:15",38.04,00:57,280636.07
